YME1L1|NM_001253866
WAC|NM_100264
WAC|NM_016628
VPS26A|NM_001035260
VPS26A|NM_004896
PPA1|NM_021129
ANXA7|NM_004034
SEC24C|NM_004922
AP3M1|NM_001320265
RPS24|NM_001026
RPS24|NM_001142285
GHITM|NM_014394
RPP30|NM_001104546
IDE|NM_001322797
IDE|NM_001322796
IDE|NM_004969
IDE|NM_001322795
TM9SF3|NM_020123
ZDHHC16|NM_001287804
ZDHHC16|NM_198046
NOLC1|NM_001284388
NOLC1|NM_001284389
GBF1|NM_001377140
CUEDC2|NM_024040
ACTR1A|NM_005736
TRIM8|NM_030912
TRIM8|NM_001345950
GSTO1|NM_001191003
GSTO1|NM_001191002
GSTO1|NM_004832
PRDX3|NM_006793
BUB3|NM_001007793
BUB3|NM_004725
DHX32|NM_018180
RNH1|NM_002939
RNH1|NM_203385
RNH1|NM_203387
TALDO1|NM_006755
AP2A2|NM_001242837
AP2A2|NM_012305
NAP1L4|NM_001369388
NAP1L4|NM_001369386
NAP1L4|NM_001369378
NAP1L4|NM_005969
ARFIP2|NM_001370409
TAF10|NM_006284
TMEM9B|NM_020644
TMEM9B|NM_001286094
TMEM9B|NM_001286095
EIF4G2|NM_001172705
EIF4G2|NM_001418
EIF4G2|NM_001042559
COPB1|NM_001144061
COPB1|NM_016451
COPB1|NM_001144062
PSMA1|NM_002786
PSMA1|NM_001143937
PSMA1|NM_148976
C11orf58|NM_014267
RPS13|NM_001017
LDHA|NM_001135239
LDHA|NM_001165415
LDHA|NM_001165414
TSG101|NM_006292
CAPRIN1|NM_005898
NAT10|NM_024662
TRIM44|NM_017583
HSD17B12|NM_016142
EXT2|NM_207122
EXT2|NM_000401
NDUFS3|NM_004551
MTCH2|NM_014342
MTCH2|NM_001317231
TIMM10|NM_012456
CLP1|NM_001142597
CLP1|NM_006831
ZDHHC5|NM_015457
MRPL16|NM_017840
CCDC86|NM_024098
DDB1|NM_001923
GANAB|NM_001329222
GANAB|NM_198335
GANAB|NM_001278194
POLR2G|NM_002696
COX8A|NM_004074
OTUB1|NM_017670
PRDX5|NM_012094
PRDX5|NM_001358516
SF1|NM_001178031
SF1|NM_001346363
MEN1|NM_001370263
MEN1|NM_130801
MEN1|NM_000244
MEN1|NM_130802
MEN1|NM_130804
MRPL49|NM_004927
RELA|NM_001145138
RELA|NM_001243985
MUS81|NM_001350283
FIBP|NM_198897
SART1|NM_005146
BANF1|NM_001143985
BANF1|NM_003860
RAB1B|NM_030981
AIP|NM_003977
AIP|NM_001302959
NDUFV1|NM_007103
NDUFS8|NM_002496
CLNS1A|NM_001311200
CLNS1A|NM_001311199
NDUFC2-KCTD14|NM_001203262
ALG8|NM_024079
ALG8|NM_001007027
DDX10|NM_004398
TIMM8B|NM_012459
SDHD|NM_001276504
ZW10|NM_004724
UBE4A|NM_001204077
ARCN1|NM_001142281
ARCN1|NM_001655
TRAPPC4|NM_001318488
HYOU1|NM_001130991
HMBS|NM_001258208
HMBS|NM_000190
HMBS|NM_001024382
HSPA8|NM_153201
NDUFA9|NM_005002
CHD4|NM_001297553
CHD4|NM_001363606
ZNF384|NM_133476
ZNF384|NM_001135734
COPS7A|NM_016319
COPS7A|NM_001164093
MLF2|NM_005439
MLF2|NM_001382225
PHB2|NM_001144831
PHB2|NM_001267700
DDX47|NM_016355
HEBP1|NM_015987
STRAP|NM_007178
MRPS35|NM_001190864
MRPS35|NM_021821
PPHLN1|NM_201440
PPHLN1|NM_001364830
PPHLN1|NM_001364834
SLC38A2|NM_018976
PRKAG1|NM_001206710
TUBA1B|NM_006082
TUBA1C|NM_001303114
TUBA1C|NM_001303117
TUBA1C|NM_032704
LETMD1|NM_001351324
PFDN5|NM_145897
PFDN5|NM_002624
PCBP2|NM_001128912
COPZ1|NM_001271735
BLOC1S1|NM_001487
RAB5B|NM_001252036
RAB5B|NM_001252037
RAB5B|NM_002868
PA2G4|NM_006191
